yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
202311,109.8,114.8,107.6,45.5,25.0,77.8
202312,110.8,115.9,108.3,45.5,55.0,66.7
202401,110.4,112.9,106.7,54.5,20.0,33.3
202402,112.0,112.7,107.7,72.7,20.0,50.0
202403,112.0,113.8,107.8,54.5,15.0,50.0
202404,111.1,114.6,107.4,54.5,60.0,77.8
202405,111.1,115.6,108.9,45.5,80.0,50.0
202406,109.8,114.6,108.3,31.8,50.0,61.1
202407,109.5,115.6,108.8,27.3,60.0,77.8
202408,107.6,113.9,109.2,18.2,20.0,66.7
202409,108.7,114.2,108.5,45.5,50.0,44.4
202410,108.8,115.7,109.1,63.6,65.0,66.7
202411,107.9,115.2,109.6,45.5,70.0,61.1
202412,108.1,116.3,110.0,45.5,75.0,66.7
202501,108.3,116.3,111.6,54.5,60.0,77.8
202502,107.9,117.0,111.4,50.0,65.0,77.8
202503,107.7,115.8,111.4,54.5,40.0,66.7
202504,104.6,115.7,113.0,9.1,35.0,61.1
202505,104.7,115.5,114.0,36.4,35.0,66.7
202506,105.3,115.9,113.2,31.8,50.0,66.7
202507,106.1,114.3,113.5,54.5,40.0,44.4
202508,106.8,113.2,112.2,54.5,10.0,22.2
202509,108.2,114.9,112.3,72.7,40.0,33.3
202510,109.8,115.9,112.2,90.0,66.7,37.5
202511,109.9,114.9,112.9,80.0,77.8,75.0
