yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
199105,94.4,115.0,110.4,18.2,65.0,61.1
199106,93.0,112.9,110.7,9.1,25.0,83.3
199107,92.6,114.3,110.1,9.1,70.0,61.1
199108,91.7,112.8,109.2,9.1,30.0,44.4
199109,90.9,111.7,109.1,18.2,40.0,33.3
199110,90.9,111.0,108.8,27.3,10.0,66.7
199111,89.7,111.4,108.9,27.3,30.0,77.8
199112,88.5,109.4,108.0,18.2,20.0,55.6
199201,88.2,108.1,107.4,18.2,30.0,33.3
199202,87.6,107.8,107.3,18.2,15.0,50.0
199203,87.0,105.7,106.0,27.3,10.0,33.3
199204,85.5,104.2,105.5,9.1,10.0,33.3
199205,85.1,102.4,105.0,9.1,0.0,22.2
199206,84.8,102.5,104.4,22.7,25.0,33.3
199207,84.2,101.6,103.6,27.3,20.0,22.2
199208,83.8,99.3,103.1,27.3,20.0,22.2
199209,84.3,101.0,102.6,54.5,40.0,22.2
199210,82.8,98.4,101.6,27.3,20.0,11.1
199211,82.6,96.5,100.8,18.2,20.0,11.1
199212,83.3,95.8,99.8,18.2,5.0,11.1
199301,83.4,96.7,99.6,27.3,30.0,44.4
199302,84.4,96.7,99.0,54.5,80.0,33.3
199303,84.1,96.2,97.8,59.1,70.0,27.8
199304,85.2,96.0,97.2,63.6,40.0,22.2
199305,86.3,94.8,96.2,54.5,20.0,22.2
199306,86.4,93.5,95.3,45.5,20.0,22.2
199307,86.7,93.7,95.3,63.6,15.0,16.7
199308,86.4,93.3,94.7,36.4,30.0,55.6
199309,86.4,93.3,93.8,63.6,60.0,44.4
199310,85.6,91.9,93.5,45.5,10.0,44.4
199311,85.1,91.6,93.0,36.4,30.0,33.3
199312,84.7,91.2,91.7,27.3,10.0,38.9
199401,86.2,91.9,92.3,54.5,60.0,55.6
199402,87.1,91.5,91.3,68.2,50.0,27.8
199403,89.4,92.8,91.1,81.8,90.0,38.9
199404,90.4,93.2,91.0,81.8,55.0,27.8
199405,91.0,93.0,90.1,90.9,75.0,44.4
199406,92.3,94.4,90.1,72.7,80.0,33.3
199407,93.0,95.1,90.2,77.3,80.0,50.0
199408,93.8,95.9,90.5,81.8,100.0,66.7
199409,94.3,95.6,90.8,63.6,70.0,61.1
199410,94.5,96.2,90.6,63.6,70.0,61.1
199411,95.8,97.2,90.5,63.6,65.0,61.1
199412,96.7,97.5,91.0,72.7,90.0,55.6
199501,95.6,95.6,90.5,45.5,30.0,61.1
199502,97.2,97.5,91.0,54.5,50.0,61.1
199503,95.6,97.8,91.4,36.4,40.0,55.6
199504,95.0,98.3,90.9,40.9,80.0,55.6
199505,94.4,97.7,91.1,18.2,45.0,55.6
199506,93.7,97.9,91.1,18.2,40.0,44.4
199507,92.9,96.3,91.0,9.1,20.0,50.0
199508,94.2,97.8,91.2,45.5,30.0,44.4
199509,94.8,97.8,91.9,54.5,40.0,72.2
199510,95.7,97.9,91.9,72.7,90.0,61.1
199511,98.1,98.6,92.1,81.8,55.0,66.7
199512,98.9,99.6,93.0,81.8,65.0,61.1
199601,98.8,98.9,92.7,72.7,80.0,77.8
199602,99.8,100.1,93.9,81.8,60.0,88.9
199603,99.9,99.8,94.0,54.5,40.0,77.8
199604,101.1,100.8,94.2,54.5,65.0,77.8
199605,101.9,101.9,94.6,72.7,70.0,61.1
199606,101.5,101.7,94.5,54.5,50.0,55.6
199607,102.7,102.7,95.4,45.5,70.0,61.1
199608,103.1,102.5,95.7,81.8,60.0,77.8
199609,103.2,103.1,95.6,72.7,90.0,61.1
199610,105.3,104.3,96.8,63.6,90.0,72.2
199611,104.9,105.6,97.5,72.7,100.0,88.9
199612,103.8,105.7,96.9,63.6,100.0,77.8
199701,104.2,107.2,97.8,54.5,90.0,77.8
199702,104.0,107.5,98.1,63.6,85.0,50.0
199703,102.5,108.7,99.3,54.5,95.0,88.9
199704,101.8,106.8,100.2,36.4,25.0,66.7
199705,103.3,108.2,100.8,36.4,45.0,55.6
199706,102.0,108.5,101.6,45.5,35.0,66.7
199707,101.9,108.3,101.6,45.5,85.0,77.8
199708,101.3,107.8,101.5,36.4,40.0,66.7
199709,100.6,106.8,102.1,31.8,10.0,66.7
199710,99.0,106.4,101.9,27.3,20.0,44.4
199711,96.3,104.5,101.7,4.5,20.0,55.6
199712,94.9,104.2,101.6,9.1,10.0,44.4
199801,94.5,103.5,100.5,18.2,10.0,22.2
199802,93.8,101.8,99.5,36.4,25.0,22.2
199803,92.6,99.0,98.1,36.4,0.0,0.0
199804,91.2,99.6,97.4,9.1,30.0,22.2
199805,91.9,98.6,96.8,27.3,20.0,22.2
199806,90.6,97.9,96.5,18.2,40.0,33.3
199807,90.4,98.3,96.0,18.2,30.0,27.8
199808,90.4,97.0,95.4,9.1,20.0,16.7
199809,90.3,97.9,95.1,54.5,35.0,22.2
199810,88.7,97.0,94.5,45.5,10.0,33.3
199811,90.3,97.1,93.9,45.5,60.0,22.2
199812,90.0,96.6,93.4,72.7,25.0,33.3
199901,90.1,97.6,93.4,63.6,75.0,55.6
199902,90.8,97.2,92.6,45.5,50.0,33.3
199903,93.2,98.7,92.2,81.8,85.0,33.3
199904,95.0,98.0,91.8,72.7,40.0,16.7
199905,94.6,98.6,91.7,81.8,80.0,33.3
199906,96.2,98.6,91.3,72.7,45.0,38.9
199907,97.3,99.5,91.4,72.7,65.0,50.0
199908,97.2,100.9,91.6,72.7,85.0,50.0
199909,98.1,101.8,91.9,72.7,90.0,61.1
199910,99.1,102.0,91.5,81.8,80.0,44.4
199911,99.3,102.8,92.1,81.8,70.0,44.4
199912,100.3,102.8,92.1,81.8,80.0,44.4
200001,101.9,103.5,92.1,72.7,70.0,44.4
200002,102.1,104.5,92.5,90.9,50.0,61.1
200003,101.3,105.4,93.5,63.6,80.0,77.8
200004,102.6,106.4,93.2,72.7,70.0,66.7
200005,102.6,106.5,93.2,45.5,80.0,55.6
200006,103.3,107.7,93.0,77.3,80.0,27.8
200007,103.6,107.5,93.1,54.5,90.0,50.0
200008,104.2,108.9,93.3,81.8,90.0,27.8
200009,104.5,107.8,92.9,63.6,30.0,33.3
200010,104.5,109.5,93.9,63.6,80.0,61.1
200011,104.5,109.7,94.2,45.5,40.0,55.6
200012,104.9,110.7,94.5,50.0,90.0,66.7
200101,101.8,108.0,94.2,18.2,30.0,22.2
200102,101.3,107.9,94.8,18.2,40.0,55.6
200103,99.9,106.4,94.2,9.1,10.0,38.9
200104,98.8,105.4,94.0,36.4,10.0,27.8
200105,99.0,104.0,94.1,31.8,10.0,38.9
200106,97.6,103.6,93.7,27.3,20.0,33.3
200107,96.2,102.2,93.6,18.2,0.0,55.6
200108,95.2,100.4,93.7,27.3,10.0,38.9
200109,92.8,99.0,93.2,22.7,5.0,50.0
200110,91.8,98.4,93.2,13.6,0.0,44.4
200111,92.4,97.5,92.5,18.2,20.0,38.9
200112,92.2,97.2,91.3,31.8,10.0,16.7
200201,93.8,97.3,91.9,81.8,40.0,33.3
200202,94.3,98.3,91.4,59.1,60.0,27.8
200203,96.7,99.0,91.1,95.5,70.0,55.6
200204,98.3,99.6,91.1,86.4,90.0,27.8
200205,100.5,102.2,90.5,86.4,90.0,38.9
