,,,,,,,,,,,類・品目符号,0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
,,,,,,,,,,,類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
,,,,,,,,,,,ウエイト(2020年指数以降),10000,4341,3956,662,614,48,48,3085,1396,377,61,1251,484,110,5659,3658,1101,19,62,318,307,304,21,71,4557,515,391,- ,- ,2000,- ,- ,1650,438,40,438,735,520,664,3158,1616
,,,,,,,,,,,品目数(2020年指数以降),582,442,382,72,70,2,2,359,145,65,3,146,3,8,140,139,40,2,2,8,3,18,2,5,100,23,1,- ,- ,1,- ,- ,75,32,4,10,29,41,107,294,46
,,,,,,,,,,,表章項目,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比
,,,,,,,時間軸コード,年月,地域コード,地域,単位,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％
d02-2,1976DD      ,7.0,1.0,,7.0,,1976100000,1976年度,13100,東京都区部,,9.5,8.1,7,11.8,11.3,13,12.9,6.6,5.6,8.6,7.9,5.2,13,3,11.7,12.1,17.1,- ,17.7,9.1,8.4,14.5,49.5,43.8,10.5,10.3,9.3,- ,- ,9.9,- ,- ,11.1,11.3,33.8,39.2,3.1,1.7,- ,- ,18.6
d02-2,1977DD      ,7.0,1.0,,8.0,,1977100000,1977年度,13100,東京都区部,,7.3,4.3,4.5,3.5,2,10.1,10.1,4.5,6.7,3.3,0.2,2.6,7,1.9,11.3,12,20.3,- ,26.9,7,2.4,31.6,24.8,6,9.3,6.4,9,- ,- ,10.2,- ,- ,11.2,6.8,6,16.1,9.2,0.7,- ,- ,11.9
d02-2,1978DD      ,7.0,1.0,,9.0,,1978100000,1978年度,13100,東京都区部,,4.5,2.5,2,2.8,2.5,4.1,4,2.6,3.8,4.6,-9.6,1.1,-1.9,6.5,6.3,6.3,7.5,- ,7.3,4.8,10.4,2.2,58.6,0,7.2,4.1,8.2,- ,- ,10.4,- ,- ,6.1,3.3,18.4,9.9,0.5,0.4,- ,- ,4.4
d02-2,1979DD      ,7.0,1.0,,10.0,,1979100000,1979年度,13100,東京都区部,,4.5,3.9,2.9,6.2,7,1.2,1.2,2.8,0.5,3.5,31.8,1.7,6.9,2.9,5.4,5.5,5.9,- ,5.7,5.5,0,3.1,34.5,0,4.7,3.3,3.6,- ,- ,4.5,- ,- ,6.7,5.8,13.3,7,3.2,1.1,- ,- ,5.2
d02-2,1980DD      ,7.0,1.0,,11.0,,1980100000,1980年度,13100,東京都区部,,7,8.5,9.5,2.3,3.5,1.9,1.8,7.5,6.4,5.4,17.5,7.4,37.8,12.3,7.7,5.9,5.5,- ,12.7,6.2,0,1.9,31.6,22.1,5.2,5.9,3,- ,- ,2.2,- ,- ,7.3,6.8,0,8,8.1,1.2,* ,* ,13.4
d02-2,1981DD      ,7.0,1.0,,12.0,,1981100000,1981年度,13100,東京都区部,,4,3.6,3.4,3.8,3.8,3.9,3.9,3.5,4.3,3.3,6,1.8,3.6,4.1,4.4,4.6,5.8,- ,6.9,2.4,0.2,4.2,13,1.6,4,4.1,2.9,- ,- ,3.8,- ,- ,4.5,2.9,8.5,6.4,3.4,1,3.2,3.9,4.6
d02-2,1982DD      ,7.0,1.0,,13.0,,1982100000,1982年度,13100,東京都区部,,2.8,2.5,2.8,1.4,0.9,3.9,3.7,2.6,2.6,4.1,6.3,0.3,4.8,1.8,3.3,3.6,3.6,- ,3.3,3.2,0,3,5.9,0,3.2,3.1,3.4,- ,- ,2.5,- ,- ,3.7,1.9,1.5,5.9,2.1,-1,3.8,2.5,3.5
d02-2,1983DD      ,7.0,1.0,,14.0,,1983100000,1983年度,13100,東京都区部,,2.2,1.8,1.5,3,3.2,2.4,2.5,1.7,2,2.6,-10.5,3.2,0,1.1,2.7,2.7,1.6,- ,7.8,2.6,-0.8,-0.2,2,0,3,2.2,2.9,- ,- ,2.4,- ,- ,3.8,1.4,4.4,4.8,3.6,-0.3,2.7,1.7,2.3
d02-2,1984DD      ,7.0,1.0,,15.0,,1984100000,1984年度,13100,東京都区部,,2.3,1.7,1.8,1.3,0.4,3.3,3.4,1.9,2.5,3.3,-2.2,0.7,2.3,0.5,3.2,3.6,5,- ,9.2,1.9,3.2,3,4.2,15.5,2.6,3.1,1.5,- ,- ,1.7,- ,- ,3.4,1.8,7.2,4.3,2.7,-0.7,2.5,1.7,3.8
d02-2,1985DD      ,7.0,1.0,,16.0,,1985100000,1985年度,13100,東京都区部,,2.3,1.4,1.3,2.2,3.1,2.1,2.3,1.3,1.2,3.6,-3.8,0.6,0.2,1.6,3.3,3.3,3.4,- ,4.7,4.3,7.7,1.6,4.3,0,3,2.1,2.4,- ,- ,3.1,- ,- ,3.7,2.1,6.4,5.5,1.8,-0.2,2.8,1.2,2.3
