date,us_gdp,japan_gdp,world_gdp
20020401,10887.46,524213.1,
20020701,10984.04,524208.5,
20021001,11061.433,524414.2,
20030101,11174.129,521379.5,39205591618517.2
20030401,11312.766,524512.7,
20030701,11566.669,524383.2,
20031001,11772.234,526399.8,
20040101,11923.447,529368.0,44181897123631.9
20040401,12112.815,527650.3,
20040701,12305.307,530478.0,
20041001,12527.214,529920.2,
20050101,12767.286,529915.8,47847635179349.7
20050401,12922.656,531339.9,
20050701,13142.642,534571.0,
20051001,13324.204,534746.7,
20060101,13599.16,534567.7,51859668488984.3
20060401,13753.424,533982.4,
20060701,13870.188,532224.5,
20061001,14039.56,539930.3,
20070101,14215.651,541982.6,58448614438455.8
20070401,14402.082,542024.6,
20070701,14564.117,536471.0,
20071001,14715.058,536835.2,
20080101,14706.538,537627.7,64232292784905.6
20080401,14865.701,533584.2,
20080701,14898.999,523219.5,
20081001,14608.209,516932.1,
20090101,14430.902,492220.9,60909219885221.0
20090401,14381.236,497852.2,
20090701,14448.882,493626.3,
20091001,14651.249,496493.5,
20100101,14764.61,501498.2,66722149003894.3
20100401,14980.193,504945.5,
20100701,15141.607,510926.2,
20101001,15309.474,505331.4,
20110101,15351.448,498681.6,74213035604821.0
20110401,15557.539,490670.3,
20110701,15647.68,501039.2,
20111001,15842.259,500302.1,
20120101,16068.805,507472.9,75866007009764.4
20120401,16207.115,500161.2,
20120701,16319.541,497526.2,
20121001,16420.419,497301.3,
20130101,16648.189,502941.2,78070094837109.7
20130401,16728.687,507527.5,
20130701,16953.838,512868.9,
20131001,17192.019,512535.9,
20140101,17197.738,516567.3,80247427618833.9
20140401,17518.508,517928.2,
20140701,17804.228,518283.4,
20141001,17912.079,522121.2,
20150101,18063.529,534684.0,75723635302571.9
20150401,18279.784,538182.1,
20150701,18401.626,539939.8,
20151001,18435.137,539315.7,
20160101,18525.933,545266.2,76957345383656.7
20160401,18711.702,543350.4,
20160701,18892.639,543620.8,
20161001,19089.379,544542.8,
20170101,19280.084,547677.1,81974795709110.2
20170401,19438.643,550555.5,
20170701,19692.595,557134.2,
20171001,20037.088,556796.3,
20180101,20328.553,558427.5,87188987385051.5
20180401,20580.912,558892.7,
20180701,20798.73,555368.7,
20181001,20917.867,553461.3,
20190101,21111.6,558800.8,88492389499432.2
20190401,21397.938,560920.5,
20190701,21717.171,561442.8,
20191001,21933.217,550111.3,
20200101,21727.657,554478.8,86116567565730.4
20200401,19935.444,513971.4,
20200701,21684.551,540185.3,
20201001,22068.767,548935.1,
20210101,22656.793,551044.8,98365745535038.4
20210401,23368.861,554201.8,
20210701,23921.991,551234.9,
20211001,24777.038,556379.3,
20220101,25215.491,556469.8,102434886179161.0
20220401,25805.791,560908.2,
20220701,26272.011,557535.7,
20221001,26734.277,566780.5,
20230101,27164.359,582160.0,106970781305675.0
20230401,27453.815,594419.1,
20230701,27967.697,593764.6,
20231001,28296.967,594818.1,
20240101,28624.069,595208.2,111326370011523.0
20240401,29016.714,609664.3,
20240701,29374.914,612874.0,
20241001,29723.864,619805.8,
20250101,29962.047,625321.2,
20250401,30353.902,,
